freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.606e+02,4.332e+01,1.362e+01,4.176e+02
1.6,4.243e+02,1.635e+02,5.192e+01,6.397e+02
3.1,3.947e+02,1.712e+02,5.947e+01,6.254e+02
4.7,8.429e+02,1.532e+02,5.831e+01,1.054e+03
6.2,1.753e+03,1.664e+02,5.843e+01,1.978e+03
7.8,2.579e+03,1.711e+02,5.639e+01,2.807e+03
9.3,3.489e+03,1.772e+02,5.690e+01,3.723e+03
10.9,4.548e+03,1.649e+02,5.699e+01,4.770e+03
12.5,5.784e+03,1.661e+02,5.790e+01,6.008e+03
14.0,7.317e+03,1.649e+02,5.823e+01,7.540e+03
15.6,9.055e+03,1.578e+02,5.750e+01,9.270e+03
17.1,1.109e+04,1.646e+02,6.186e+01,1.131e+04
18.7,1.341e+04,1.654e+02,6.274e+01,1.364e+04
20.2,1.640e+04,1.634e+02,5.806e+01,1.662e+04
21.8,2.005e+04,1.709e+02,5.708e+01,2.028e+04
23.4,2.525e+04,1.838e+02,5.657e+01,2.550e+04
24.9,3.226e+04,3.521e+02,6.537e+01,3.268e+04
26.5,3.947e+04,8.848e+02,7.529e+01,4.043e+04
28.0,3.863e+04,1.063e+03,7.538e+01,3.977e+04
29.6,2.793e+04,6.785e+02,6.445e+01,2.867e+04
31.1,2.154e+04,4.148e+02,6.424e+01,2.202e+04
32.7,1.926e+04,2.903e+02,6.365e+01,1.962e+04
34.3,2.018e+04,2.379e+02,5.989e+01,2.047e+04
35.8,2.487e+04,2.025e+02,5.797e+01,2.513e+04
37.4,3.156e+04,1.949e+02,5.780e+01,3.181e+04
38.9,3.748e+04,2.018e+02,5.840e+01,3.774e+04
40.5,4.279e+04,2.066e+02,6.211e+01,4.306e+04
42.0,4.706e+04,2.123e+02,6.700e+01,4.734e+04
43.6,5.652e+04,2.210e+02,9.192e+01,5.683e+04
45.2,7.097e+04,2.495e+02,1.604e+02,7.138e+04
46.7,9.196e+04,3.427e+02,4.928e+02,9.279e+04
48.3,1.193e+05,5.420e+02,1.628e+03,1.215e+05
