freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.444e+01,4.028e+02,2.387e+01,5.111e+02
1.6,3.400e+02,7.243e+02,5.578e+01,1.120e+03
3.1,3.891e+02,5.912e+02,5.836e+01,1.039e+03
4.7,3.794e+02,8.610e+02,6.043e+01,1.301e+03
6.2,3.829e+02,1.790e+03,6.552e+01,2.238e+03
7.8,3.905e+02,2.674e+03,7.330e+01,3.138e+03
9.3,4.230e+02,3.820e+03,8.815e+01,4.331e+03
10.9,4.588e+02,5.214e+03,9.637e+01,5.769e+03
12.5,4.278e+02,6.851e+03,1.016e+02,7.380e+03
14.0,4.075e+02,8.550e+03,1.170e+02,9.075e+03
15.6,4.495e+02,1.081e+04,1.441e+02,1.140e+04
17.1,4.787e+02,1.365e+04,1.864e+02,1.432e+04
18.7,4.673e+02,1.739e+04,2.479e+02,1.811e+04
20.2,5.092e+02,2.157e+04,2.869e+02,2.237e+04
21.8,5.444e+02,2.879e+04,3.863e+02,2.972e+04
23.4,9.888e+02,4.085e+04,5.934e+02,4.243e+04
24.9,2.165e+03,5.054e+04,8.316e+02,5.354e+04
26.5,3.430e+03,4.307e+04,7.240e+02,4.722e+04
28.0,2.758e+03,3.000e+04,4.623e+02,3.322e+04
29.6,1.422e+03,1.981e+04,2.479e+02,2.148e+04
31.1,1.054e+03,1.673e+04,1.313e+02,1.792e+04
32.7,1.029e+03,1.655e+04,7.999e+01,1.766e+04
34.3,8.764e+02,1.817e+04,7.784e+01,1.912e+04
35.8,8.566e+02,2.147e+04,1.005e+02,2.243e+04
37.4,7.873e+02,2.481e+04,1.493e+02,2.574e+04
38.9,7.280e+02,2.873e+04,2.034e+02,2.966e+04
40.5,7.613e+02,3.209e+04,2.619e+02,3.311e+04
42.0,7.290e+02,3.416e+04,3.410e+02,3.523e+04
43.6,7.480e+02,3.750e+04,4.828e+02,3.873e+04
45.2,7.706e+02,4.134e+04,6.451e+02,4.275e+04
46.7,8.779e+02,4.589e+04,7.968e+02,4.757e+04
48.3,1.184e+03,5.154e+04,8.279e+02,5.355e+04
